team,name,state,country,district,rookie_year,active,norm_epa,wins,losses,ties,count,winrate
103,Cybersonics,PA,USA,fma,1997,t,1727,596,364,20,980,0.6184
104,Team Universal,PA,USA,NULL,1998,f,1540,36,40,4,80,0.475
105,Team 105,MA,USA,NULL,1996,f,1476,7,4,0,11,0.6364
107,Team R.O.B.O.T.I.C.S.,MI,USA,fim,1997,t,1617,522,396,23,941,0.567
108,SigmaC@T Robotics Team,FL,USA,NULL,1995,t,1607,295,301,14,610,0.4951
109,Team 109,IL,USA,NULL,1998,f,1585,4,5,0,9,0.4444
111,WildStang,IL,USA,NULL,1996,t,1891,597,235,14,846,0.7139
112,Plus One,IL,USA,NULL,1998,t,1617,28,29,1,58,0.4914
114,Eaglestrike,CA,USA,NULL,1997,t,1738,325,266,13,604,0.5488
115,MVRT,CA,USA,NULL,1998,t,1683,325,270,5,600,0.5458
116,Epsilon Delta,VA,USA,chs,1996,t,1548,233,259,9,501,0.4741
117,Steel Dragons Robotics,PA,USA,NULL,1998,t,1597,108,144,6,258,0.4302
118,Robonauts,TX,USA,fit,1997,t,1789,869,224,8,1101,0.7929
120,Youth Tech Academy Red Dragons,OH,USA,NULL,1995,t,1594,255,319,10,584,0.4452
121,Rhode Warriors,RI,USA,ne,1996,f,1544,281,195,9,485,0.5887
122,NASA Knights,VA,USA,chs,1997,t,1565,313,273,10,596,0.5336
123,Team - Cosmos,MI,USA,fim,1997,t,1599,411,365,16,792,0.529
125,NUTRONs,MA,USA,ne,1998,t,1737,707,373,19,1099,0.652
126,Gael Force,MA,USA,ne,1992,t,1530,432,315,15,762,0.5768
128,The Botcats,OH,USA,NULL,1997,t,1506,176,181,7,364,0.4931
131,CHAOS,NH,USA,ne,1992,t,1591,304,210,8,522,0.59
133,B.E.R.T.,ME,USA,ne,1997,t,1825,439,217,12,668,0.6662
134,Team Discovery,NH,USA,NULL,1997,f,1567,103,104,11,218,0.4977
135,Penn Robotics Black Knights,IN,USA,fin,1998,t,1563,442,357,9,808,0.5526
136,Killer Kardinals,NJ,USA,fma,1997,f,1424,95,187,9,291,0.3419
138,Entropy,NH,USA,ne,1996,t,1646,281,236,13,530,0.5425
140,Tigers,MA,USA,NULL,1997,f,1415,13,26,4,43,0.3488
141,WOBOT,MI,USA,fim,1995,t,1535,523,510,19,1052,0.5062
144,The R.O.C.K,OH,USA,NULL,1994,t,1578,172,166,7,345,0.5087
145,T-Rx,NY,USA,NULL,1997,f,1444,142,136,7,285,0.5105
146,Team 146,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
147,Deep Thunder,FL,USA,NULL,1997,f,1581,22,22,2,46,0.5
148,Robowranglers,TX,USA,fit,1992,t,1751,767,231,9,1007,0.7661
151,Tough Techs,NH,USA,ne,1992,t,1462,176,231,13,420,0.4345
155,The TechnoNuts,CT,USA,ne,1994,t,1533,281,306,8,595,0.479
156,RPM  - Robotics Plus Mayhem,PA,USA,NULL,1997,f,1525,112,116,3,231,0.4913
157,AZTECHS,MA,USA,ne,1992,t,1498,273,307,18,598,0.4716
158,The Cobras,OH,USA,NULL,1996,f,1559,47,62,4,113,0.4336
159,Alpine Robotics,CO,USA,NULL,1998,t,1483,191,211,10,412,0.4757
161,Team 161,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
162,Team 162,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
163,Team 163,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
165,Das Goat,MD,USA,NULL,1998,f,1463,33,42,3,78,0.4423
166,Chop Shop,NH,USA,ne,1995,t,1610,307,321,6,634,0.489
167,Children of the Corn,IA,USA,NULL,1998,t,1613,221,162,5,388,0.576
168,Flashbacks,FL,USA,NULL,1998,f,1450,79,105,7,191,0.4319
169,Team 169,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
171,Cheese Curd Herd,WI,USA,NULL,1995,t,1573,225,194,14,433,0.5358
172,Northern Force,ME,USA,ne,1996,t,1568,261,241,9,511,0.5196
173,RAGE Robotics ⚙️,CT,USA,ne,1995,t,1480,343,323,4,670,0.5149
174,Arctic Warriors,NY,USA,NULL,1998,f,1550,165,160,7,332,0.5075
175,Buzz Robotics,CT,USA,ne,1996,t,1529,497,360,10,867,0.579
176,Aces High,CT,USA,ne,1996,t,1807,605,303,21,929,0.6625
177,Bobcat Robotics,CT,USA,ne,1995,t,1727,577,305,14,896,0.6518
178,The 2nd Law Enforcers,CT,USA,ne,1997,t,1510,238,310,10,558,0.4355
179,Children of the Swamp,FL,USA,NULL,1998,t,1695,497,201,5,703,0.7105
180,S.P.A.M.,FL,USA,NULL,1998,t,1707,501,220,8,729,0.6927
181,Birds Of Prey,CT,USA,ne,1998,t,1429,284,299,16,599,0.4875
182,ThunderQuest,MI,USA,NULL,1998,f,1415,9,20,0,29,0.3103
184,F.R.E.D.,MI,USA,NULL,1998,f,1496,52,75,1,128,0.4102
186,The Alliance,FL,USA,NULL,1998,f,1419,31,25,3,59,0.5508
188,Blizzard,ON,Canada,ont,1998,t,1468,474,287,10,771,0.6213
190,Gompei and the H.E.R.D.,MA,USA,ne,1992,t,1506,446,403,17,866,0.5248
